序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
159,nfra,银保监发〔2022〕8号,中国银保监会 交通运输部关于银行业保险业支持公路交通高质量发展的意见,保险产品|保险公司|保险机构|保险资产管理|保险资金 ,[meta]…，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、理财公司，各保险集团（控股）公司、保险公司、保险资产管理公司、养老金管理公司： 各银保监局，各省、自治区、直辖市交通运输厅（局、委），各政策性银行、大型…,"同时存在排除信号(金融资产,银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
160,nfra,银保监发〔2022〕4号,中国银保监会 中国人民银行关于加强新市民金融服务工作的通知, ,[body]…发展普惠性学前教育责任险和意外险业务，为新市民家庭学龄前儿童教育抚养解决后顾之忧。六、加强与政府部门合作，提高健康保险服务水平（十六）充分发挥商业健康保险的补充作用。鼓励保险机构加强与医保部门合作，推动商业健康保险与基本医疗保险…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(信托公司,商业银行,银行业)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
161,nfra,银保监规〔2022〕3号,中国银保监会关于印发融资租赁公司非现场监管规程的通知,分支机构 ,[body]…赁公司非现场监管主体责任，负责本地区融资租赁公司法人机构非现场监管工作。融资租赁公司跨省、自治区、直辖市设立的分支机构和特殊项目公司（SPV)，其非现场监管工作由融资租赁公司法人机构注册地地方金融监管部门负责，分支机构和特殊项目…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
162,nfra,中国银行保险监督管理委员会令〔2021〕11号,保险公司非寿险业务准备金管理办法, ,[body]…中华人民共和国保险法》(以下简称《保险法》)等法律、行政法规，制定本办法。第二条 本办法所称非寿险业务，是指除人寿保险业务以外的保险业务，包括财产损失保险、责任保险、信用保险、保证保险、短期健康保险和意外伤害保险业务以及上述业务…,"文件主体/适用对象明确为人身险/寿险/健康险/养老险公司（含其资管子公司）；同时存在排除信号(再保险公司,财产保险公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
163,nfra,银保监发〔2021〕40号,中国银保监会关于印发派出机构规范性文件备案审查办法的通知,保险机构 ,[body]…党中央、国务院决策以及银保监会改革发展政策和工作部署提出监管要求的文件； （二）在法定职权范围内，规范辖内银行保险机构经营管理和业务发展提出监管要求的文件；（三）银保监局制定的规范监管行为的文件；（四）配合地方政府发布的就金融支…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
164,nfra,银保监办发〔2021〕97号,中国银保监会办公厅关于印发支持国家乡村振兴重点帮扶县工作方案的通知,保单|保险产品|保险公司|保险机构|保险理赔|保险资金|分支机构 ,[meta]…国家乡村振兴重点帮扶县工作方案的通知 各银保监局，各政策性银行、大型银行、股份制银行，各保险集团（控股）公司、保险公司：各银保监局，各政策性银行、大型银行、股份制银行，各保险集团（控股）公司、保险公司：为认真贯彻落实《中共中央…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
165,nfra,银保监办发〔2021〕94号,中国银保监会办公厅关于金融服务乡村振兴创新示范区建设工作的通知,保险机构|保险理赔 ,[body]…共享机制建设。推动地方政府构建域内综合金融服务平台，整合财税、农业农村、市场监管、社保等涉农信用信息，指导银行保险机构共建共享。加强农村信用信息在撮合金融供需、提升信贷获取便利、改进银行机构风险控制效率等方面的作用。推动地方政府…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
166,nfra,银保监发〔2021〕25号,中国银保监会关于印发深化“证照分离”改革 进一步激发市场主体发展活力实施方案的通知,保险公司|保险公司分支机构|保险机构|分支机构 ,[body]…、减环节。在自由贸易试验区内，进一步加大改革试点力度，采取“审批改为备案”的改革方式，结合监管实际，将部分银行保险机构分支机构设立、高级管理人员任职资格核准等事项由事前审批改为事后报告，自由贸易试验区所在县、不设区的市、市辖区的…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
167,nfra,银保监办发〔2021〕39号,中国银保监会办公厅 住房和城乡建设部办公厅 中国人民银行办公厅关于防止经营用途贷款违规流入房地产领域的通知,分支机构 ,[body]…，进一步强化合规意识和审慎经营理念，认真梳理经营用途贷款业务操作流程，扎紧制度笼子，切实强化内部问责。要加强对分支机构经营用途贷款的监测分析。要加强员工异常行为监控，严防内外勾结，对相关违法违规人员依法严格问责。七、加强中介机构…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
168,nfra,银保监发〔2021〕6号,中国银保监会、财政部、中国人民银行、国家乡村振兴局联合发布《关于深入扎实做好过渡期脱贫人口小额信贷工作的通知》,保险公司|分支机构 ,[body]…好贷前调查、贷中审查、贷后管理，及时准确掌握贷款资金流向。（二）稳妥处置逾期贷款。监管部门、财政部门、人民银行分支机构、扶贫（乡村振兴）部门等部门要全面监测掌握脱贫人口小额信贷情况，加强分析研判，及时提示风险，合力解决突出问题。…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
169,nfra,,中国银保监会办公厅关于印发银保监会现场检查立项和实施程序规定（试行）的通知,分支机构 ,[body]…直接监管对象进行现场检查立项。监管对象所在地的银保监会派出机构（以下称属地监管机构）认为其所监管法人机构的异地分支机构可能存在重大风险的，可以向该分支机构的属地监管机构提出现场检查立项建议。第四条 银保监会及其派出机构的专职现场…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
170,nfra,其他〔2020〕14号,财政部 国务院国资委 银保监会关于加强会计师事务所执业管理切实提高审计质量的实施意见,偿付能力 ,"[meta]…务院有关决定精神，为加强会计师事务所执业管理,切实促进提高会计师事务所审计质量，现提出以下实施意见。 财会部(偿付能力部)    财政部 国务院国资委 银保监会关于加强财会〔2020〕14号 各省、自治区、直辖市财政厅（局）、国…",泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
171,nfra,银保监发〔2020〕46号,中国银保监会 湖北省人民政府关于印发东湖科技保险创新示范区总体方案的通知, ,[body]…发展产品研发责任险、关键研发设备保险等产品，支持“智能制造”和“机器换人”，大力发展高管人员和关键研发人员团体健康保险、高管人员和关键研发人员团体意外保险，为科技企业的业务骨干、关键研发人员提供一揽子保险。继续开展营业中断损失险…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(保险中介机构,保险公估,保险经纪公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
172,nfra,银保监发〔2020〕37号,中国银保监会关于印发融资担保公司非现场监管规程的通知,分支机构 ,[body]…监管部际联席会议成员单位的信息共享和互联互通。监督管理部门承担非现场监管主责，负责本地区融资担保公司法人机构和分支机构非现场监管工作。融资担保公司跨省、自治区、直辖市设立的分支机构，其非现场监管工作由分支机构所在地监督管理部门负…,"同时存在排除信号(金融资产,银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
173,nfra,中国银行保险监督管理委员会令〔2020〕2号,中国银保监会信访工作办法,保险产品|保险机构 ,[body]…十二条 银行保险监督管理机构对下列不属于信访事项的请求，应依照有关规定程序处理并告知材料提交人。（一）举报银行保险机构或其工作人员违反相关银行保险监管法律、行政法规、部门规章和其他规范性文件；举报公民、法人或者其他组织涉嫌非法设…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
174,nfra,,中国银保监会办公厅关于加强商业保理企业监督管理的通知,保险公司|保险机构|分支机构 ,[body]…范工作，并向银保监会报告。（二十一）商业保理企业住所地金融监管局要牵头负责跨区域经营商业保理企业的监管，加强与分支机构所在地金融监管局的协调配合，定期共享跨区域经营的商业保理企业分支机构名单和经营信息，避免重复监管和监管真空。六…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
175,nfra,财金〔2019〕1491号,国家发展改革委 银保监会关于深入开展“信易贷”支持中小微企业融资的通知,保险公司 ,[body]…风险防控。 金融机构应当建立覆盖贷前贷中贷后的一体化风险防控体系，加强监测预警和提前处置。鼓励银行业金融机构与保险公司开展信用保证保险等业务合作，完善风险分担机制。 （五）加大宣传力度。 依托部门政务服务大厅、银行网点、服务热线…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
176,nfra,银保监办发〔2019〕189号,中国银保监会办公厅   农业农村部办公厅关于支持做好稳定生猪生产保障市场供应有关工作的通知,保险公司|保险资产管理|保险资金 ,[meta]…计划单列市农业农村（农牧）厅（委、局），各政策性银行、大型银行、股份制银行，邮储银行，各保险集团（控股）公司、保险公司、保险资产管理公司：为贯彻落实 政研局    机密★公开前 特急   中国银保监会办公厅   农业农村部办公厅…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
177,nfra,银保监办发〔2019〕150号,中国银保监会办公厅转发关于推动出入境证件便利化应用工作方案的通知,保险机构 ,[body]…问题，请及时报告银保监会。特此通知。中国银保监会办公厅 2019年7月1日 （此件发至银保监分局和地方法人银行保险机构） 现将国家移民管理局等十六个部门联合印发的《关于印发<关于推动出入境证件便利化应用的工作方案>的通知》（国移…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
178,nfra,银保监办发〔2019〕143号,中国银保监会办公厅关于资产支持计划注册有关事项的通知,保险机构|保险资产管理|保险资金 ,[meta]…注册有关事项的通知 中国银保监会办公厅关于。资产支持计划注册有关事项的通知。银保监办发〔2019〕143号。各保险资产管理公司:。为进一步落实国务院“放管服”工作部署，推动资产支持计划（以下简称支持计划）业务发展，提高监管效率和透明…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
179,nfra,银监办发〔2018〕13号,中国银监会办公厅关于印发银监会机关银行业消费者投诉处理规程的通知,分支机构 ,[body]…行业从业人员的投诉事项，按照属地原则转交相应银监局办理。（二）涉及经营规则、业务系统等，或者其他银行业金融机构分支机构无法办理或无权办理的投诉事项，转交当事银行业金融机构总行（部）办理。（三）对于适宜采用第三方调解方式处理的投诉…,"同时存在排除信号(金融资产,银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
180,nfra,保监发〔2013〕25号,中国银保监会关于同意中航安盟财产保险有限公司开展“保险+期货”试点的函,保险产品|保险条款|保险资金 ,[body]…结构设置费率调节因子。  三、 你公司参与农产品期货/期权交易应经公司董事会决议通过。  四、 你公司应参照《保险资金参与金融衍生产品交易暂行办法》有关要求， 建立健全参与农产品期货/期权交易的内部管理制度和运作机制， 配备熟悉…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
181,nfra,保监发〔2013〕25号,中国银保监会关于同意中国平安财产保险股份有限公司开展“保险+期货”试点的函,保险产品|保险条款|保险资金 ,"[body]…因子。  三、 你公司参与玉米、 棉花、 鸡蛋等农产品期权交易应经公司董事会决议通过。  四、 你公司应参照《保险资金参与金融衍生产品交易暂行办法》有关要求, 建立健全参与农产品期权交易的内部管理制度和运作机制, 配备熟悉期货期…",泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
182,nfra,国办发〔2017〕84号,中国银行保险监督管理委员会办公厅关于规范银行业金融机构跨省票据业务的通知,分支机构 ,[meta]…风险，提升服务实体经济质效，现就跨省票据业务有关事项通知如下:一、本通知所称跨省票据业务是指银行业金融机构及其分支机构为其所在省（自治区、直辖市）以外地区注册的企业 审慎规制局    中国银行保险监督管理委员会办公厅关于中国银行…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
183,nfra,保监会令2018年第4号,中国保险监督管理委员会关于修改《中华人民共和国外资保险公司管理条例实施细则》等四部规章的决定,保险公司|保险机构 ,[title]…中国保险监督管理委员会关于修改《中华人民共和国外资保险公司管理条例实施细则》等四部规章的决定 保监会令2018年第4号。现公布《中国保险监督管理委员会关于修改〈中华人民…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
184,nfra,银监会令2017年第4号,中国农业发展银行监督管理办法（中国银监会令2017年第4号）,分支机构 ,[body]…并、重大投资、重大资产购置与处置、重大对外担保（银行担保业务除外）等；（八）审议批准内部管理机构以及境内外一级分支机构设置、调整和撤销方案，对一级子行（子公司）的设立、分立、合并、资本金变动等事项作出决议，审议子公司章程；（九）…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
185,nfra,银监会令2017年第3号,中国进出口银行监督管理办法（中国银监会令 2017年第3号),分支机构 ,[body]…、重大投资、重大资产购置与处置、重大对外担保（银行担保业务除外）等； （八）审议批准内部管理机构以及境内外一级分支机构设置、调整和撤销方案，对一级子行（子公司）的设立、分立、合并、资本金变动等事项作出决议，审议子公司章程；（九）…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
186,nfra,银监会令2017年第2号,国家开发银行监督管理办法（中国银监会令 2017年第2号),分支机构 ,[body]…险管理、内部控制等基本管理制度；（六）制定董事会议事规则及其修订方案；（七）审议批准内部管理机构以及境内外一级分支机构设置、调整和撤销方案，对附属机构的设立、资本金变动等作出决议，审议附属机构章程；（八）决定对董事长和经营管理层…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
187,nfra,中国银行保险监督管理委员会令〔2017〕3号,中国进出口银行监督管理办法,分支机构 ,[body]…并、重大投资、重大资产购置与处置、重大对外担保（银行担保业务除外）等；（八）审议批准内部管理机构以及境内外一级分支机构设置、调整和撤销方案，对一级子行（子公司）的设立、分立、合并、资本金变动等事项作出决议，审议子公司章程；（九）…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
188,nfra,银行业监督管理委员会令〔2017〕4号,中国农业发展银行监督管理办法,分支机构 ,[body]…并、重大投资、重大资产购置与处置、重大对外担保（银行担保业务除外）等；（八）审议批准内部管理机构以及境内外一级分支机构设置、调整和撤销方案，对一级子行（子公司）的设立、分立、合并、资本金变动等事项作出决议，审议子公司章程；（九）…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
189,nfra,保监发〔2013〕25号,中国保监会关于中煤财产保险股份有限公司开展“保险 期货”试点的通知,保险产品|保险条款|保险资金 ,[body]…小麦、 鸡蛋等农产品场外期权交易应经董事会决议通过， 并向我会出具董事会风险知晓函。  四、 你公司应参照《保险资金参与金融衍生产品交易暂行办法》有关要求， 建立健全参与玉米、 小麦、 鸡蛋等农产品期权交易的内部管理制度和运作…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
190,nfra,工信部联原〔2017〕222号,工业和信息化部 财政部 保监会关于开展重点新材料首批次应用保险补偿机制试点工作的通知,保险产品|保险公司 ,[body]…首台套装备的材料不在本政策支持范围。 （二）保险险种及保障范围 保监会针对新材料推广应用中存在的特殊风险，指导保险公司提供定制化的新材料产品质量安全责任保险产品（以下简称新材料保险），承保新材料质量风险、责任风险。承保的质量风险…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
191,nfra,银监办发〔2017〕108号,中国银监会办公厅关于全力做好四川和新疆地震灾区银行业金融服务工作的通知,分支机构 ,[body]…服务不断、 秩序不乱。 各银行业金融机构要把抗震救灾工作作为当前的第一要务， 启动地震灾害应急预案， 督促灾区分支机构救灾领导机构切实发挥作用， 确保抗震救灾工作有序推进。 二、 做好应急保障切实防止次生灾害要按照地方政府的统一…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
192,nfra,保监财会〔2017〕181号,中国保监会关于暂免征保险业监管费有关事项的通知,保险公司|保险机构|保险资产管理 ,[meta]…中国保监会关于暂免征保险业监管费有关事项的通知 保监财会〔2017〕181号   各保监局，各保险公司、保险资产管理公司、保险专业中介机构，外国保险机构代表处：   根据《财政部 国家发改委关于暂免征银行业监管费…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
193,nfra,保监发〔2017〕49号,中国保监会关于进一步贯彻落实疏解北京非首都功能有关政策意见的通知,保险公司|保险机构|保险资产管理|分支机构 ,[meta]…的通知 保监发〔2017〕49号   机关各部门，北京保监局、天津保监局、河北保监局，各保险集团（控股）公司、保险公司、保险资产管理公司、保险专业中介机构：   为深入贯彻党中央、国务院关于疏解北京非首都功能控增量、疏存量的要求…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
194,nfra,保监发〔2017〕39号,中国保监会关于发布《产险单证（JRT0051-2017）》行业标准的通知 ,保险公司|保险资产管理 ,[meta]…司、上海保险交易所股份有限公司、中国保险报业股份有限公司，中国保险行业协会、中国保险学会、中国精算师协会、中国保险资产管理业协会，各保险公司、保险资产管理公司：   全国金融标准化技术委员会保险分技术委员会对《产险单证（JR/T00…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
195,nfra,保监发〔2017〕37号,中国保监会关于发布《化学原料及化学制品制造业责任保险风险评估指引（JRT0152-2017）》行业标准的通知,保险公司|保险资产管理 ,[meta]…司、上海保险交易所股份有限公司、中国保险报业股份有限公司，中国保险行业协会、中国保险学会、中国精算师协会、中国保险资产管理业协会，各保险公司、保险资产管理公司、保险专业中介机构：。     保监发〔2017〕37 号 机关各部门，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
196,nfra,保监发〔2012〕92号,中国保监会关于债权投资计划投资重大工程有关事项的通知,保险公司|保险资产管理|保险资金 ,[meta]…国保监会关于债权投资计划投资重大工程有关事项的通知 保监资金〔2017〕135号   各保险集团（控股）公司、保险公司、保险资产管理公司：   为支持保险资金投资关系国计民生的重大工程，进一步服务实体经济，根据《基础设施债权投资…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
197,nfra,,关于《国家税务总局 财政部 中国人民银行 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于发布〈非居民金融账户涉税信息尽职调查管理办法〉的公告》的解读, ,[body]…，因此，《管理办法》参照国际标准也规定了一些免予尽职调查的账户，例如符合条件的退休金账户、社会保障类账户、定期人寿保险合同、休眠账户以及其他符合条件的账户等。相关条件在《管理办法》中均有具体规定。 十六、所有类别账户的尽职调查程…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(信托公司,商业银行,基金管理公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
198,nfra,,中国银监会关于切实弥补监管短板提升监管效能的通知,分支机构 ,[body]…结果进行通报，强化震慑效应。六、强化责任追究（一）严肃银行业金融机构责任追究。银行业金融机构要细化各业务条线、分支机构、业务岗位的职责，明确尽职要求和失职责任，建立规范化、流程化的责任追究体系，做到尽职免责、失职追责。要指定专门…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
199,nfra,银监发〔2017〕1号,中国银监会关于规范银行业服务企业走出去 加强风险防控的指导意见,保险公司|分支机构 ,[body]…强化资金监管，防范信贷资金挪用和逃废债等行为。当客户出现重大风险情况时，应及时采取有效措施，缓释风险。对当地无分支机构或代理行进行有效贷后管理的非出口信贷类业务，应审慎介入。 （十三）加强担保管理和风险分担。银行业金融机构应严格…,"同时存在排除信号(金融资产,银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
200,nfra,银发〔2015〕221号,关于印发《P2P网络借贷风险专项整治工作实施方案》的通知,分支机构 ,[body]…包括：一是网贷机构基本情况，包括但不限于股东或出资人、实际控制人、法定代表人、注册资本、借贷余额、出借人总数、分支机构数量及分布等。二是网贷机构各类产品及业务运营情况，包括产品期限、综合收益率、逾期率等。三是网贷机构存在的主要问…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
201,nfra,国家互联网信息办公室令2016年第1号,网络借贷信息中介机构业务活动管理暂行办法（银监会令[2016]1号）,分支机构 ,[body]…互联网信息内容等业务进行监管。 第二章 备案管理 第五条 拟开展网络借贷信息中介服务的网络借贷信息中介机构及其分支机构，应当在领取营业执照后，于10个工作日以内携带有关材料向工商登记注册地地方金融监管部门备案登记。地方金融监管部…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
202,nfra,国发〔2015〕22号,银行卡清算机构管理办法,分支机构 ,[body]…变更与终止第二十五条 银行卡清算机构有下列变更事项之一的，应当按规定向中国人民银行提交变更申请材料：（一）设立分支机构。（二）分立或者合并。（三）变更公司名称或者公司章程。（四）变更注册资本。（五）变更主要出资人或其他单一持股比…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
203,nfra,国发〔2012〕20号,国务院食品安全办 食品药品监管总局 保监会关于开展食品安全责任保险试点工作的指导意见,保险产品|保险公司|保险机构|保险条款|保险消费者|保险理赔|保险销售 ,[body]…险的重要意义和积极作用，结合实际开展食品安全责任保险试点，充分发挥保险的风险控制和社会管理功能，探索建立政府、保险机构、企业、消费者多方参与、互动共赢的激励约束机制和风险防控机制，为全面推行食品安全责任保险制度积累经验。 二、明…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
204,nfra,国发〔2006〕23号,中国保险监督管理委员会 浙江省人民政府关于在浙江省宁波市建设保险创新综合示范区的通知, ,[body]…水平， 逐步扩大新农合附加意外伤害险的试点区域和范围； 鼓励保险公司兴办医疗机构， 积极参与医改； 做好延税型养老保险和变额年金试点的各项前期准备工作， 积极争取试点机会。  （三）大力开展保险产品创新， 促进经济转型升级。…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
205,nfra,保监发〔2014〕20号,中国保险监督管理委员会 北京市人民政府关于加快推动北京保险产业园创新发展的意见, 保险兼业代理,[body]…资城市基础设施建设和战略性新兴产业；服务创新驱动，积极推进科技保险发展，为产业升级和技术创新提供保障；大力发展健康保险、养老保险等，鼓励商业保险积极参与多层次社会保障体系建设和社会公共服务，更好地服务社会管理创新；探索巨灾保险制…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；规范保险销售/代理人行为，直接约束人身险公司销售队伍,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
206,nfra,保监稽查〔2013〕643号,关于印发《保监局案件风险监管考核办法（试行）》的通知,保险公司|保险机构 ,[body]…切实防范、化解案件风险，制定本办法。 第二条 本办法考核的保险案件包括业内案件和业外案件两大类。 业内案件是指保险公司、保险中介公司及保险从业人员，因执业行为，独立或共同实施，或与外部人员合伙实施的，触犯刑法，涉嫌侵占、挪用、诈…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
207,nfra,保监发〔2013〕66号,中国保监会关于专业网络保险公司开业验收有关问题的通知,保单|保险公司|保险条款|保险消费者 ,[title]…中国保监会关于专业网络保险公司开业验收有关问题的通知 保监发〔2013〕66号。各中资保险公司筹备组：。为了有效防范风险，保护保险消费者利益…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
208,nfra,国发〔2011〕35号,关于开展环境污染强制责任保险试点工作的指导意见,保险产品|保险公司|保险条款 ,[body]…门和保险监管部门联合推动地方人大和人民政府，制定发布了一系列推进环境污染责任保险的法规、规章和规范性文件，引导保险公司开发相关保险产品，鼓励和督促高环境风险企业投保，取得积极进展。 根据环境风险管理的新形势新要求，开展环境污染强…,"同时存在排除信号(保险经纪机构,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
209,nfra,保监资金〔2013〕93号,关于债权投资计划注册有关事项的通知,保险资产管理|保险资金 ,[meta]…关于债权投资计划注册有关事项的通知 保监资金〔2013〕93号。各保险资产管理公司：。为推动债权投资计划业务创新发展，提高监管效率和透明程度，根据《基础设施债权投资计划管理暂行规定》《保险…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
210,nfra,保监厅发〔2012〕75号,关于印发《中国保监会电子文件传输系统管理暂行办法》的通知,保险公司|保险公司分支机构|保险资产管理|分支机构 ,[meta]…保监会电子文件传输系统管理暂行办法》的通知 保监厅发〔2012〕75号。各保监局，机关各部门，各保险集团公司、保险公司、保险资产管理公司：。为规范电子文件传输系统的操作使用，保证系统的安全稳定运行，中国保监会办公厅制定了《中国保…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
211,nfra,银监办发〔2012〕189号,中国银监会办公厅关于农村中小金融机构实施富民惠农金融创新工程的指导意见,保险机构 ,[body]…信用、 联保和互保等贷款担保方式； 积极鼓励以政府资金为主体设立的各类担保机构为涉农业务提供融资担保； 加强与保险机构合作， 探索开展涉农贷款保证保险业务等业务品种。 在全面调查农户信用状况等“软信息”基础上， 适当降低担保门槛…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
